experiment_id,timestamp,action,step_id,step_name,short_text_viewed,long_text_viewed,single_pieces_viewed,assembly_viewed,video_viewed,mode
1,2025-03-27 14:16:42.511907,start_experiment,,,,,,,,Static
1,2025-03-27 14:16:42.684540,step_loaded,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:06.962865,navigate_next,1.0,Withdraw Components for PIECE 1,0.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:06.968649,initial_suggestion,1.0,Withdraw Components for PIECE 1,1.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:07.095155,step_loaded,2.0,Assembly PIECE 1,0.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:17.754847,toggle_assembly_block,2.0,Assembly PIECE 1,0.0,0.0,0.0,1.0,0.0,Static
1,2025-03-27 14:17:37.063177,navigate_next,2.0,Assembly PIECE 1,0.0,0.0,0.0,1.0,0.0,Static
1,2025-03-27 14:17:37.067062,initial_suggestion,2.0,Assembly PIECE 1,1.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:37.201615,step_loaded,3.0,Withdraw Components for PIECE 2,0.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:46.463548,navigate_next,3.0,Withdraw Components for PIECE 2,0.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:46.469533,initial_suggestion,3.0,Withdraw Components for PIECE 2,1.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:17:46.592704,step_loaded,4.0,Assembly PIECE 2,0.0,0.0,0.0,0.0,0.0,Static
1,2025-03-27 14:18:00.122313,toggle_assembly_block,4.0,Assembly PIECE 2,0.0,0.0,0.0,1.0,0.0,Static
1,2025-03-27 14:18:13.618591,navigate_next,4.0,Assembly PIECE 2,0.0,0.0,0.0,1.0,0.0,Static
1,2025-03-27 14:18:13.622945,initial_suggestion,4.0,Assembly PIECE 2,1.0,0.0,0.0,0.0,0.0,Static
